id,name,categories,referralId,hasPerk,location.address,location.crossStreet,location.lat,location.lng,location.labeledLatLngs,location.postalCode,location.cc,location.city,location.country,location.formattedAddress,location.neighborhood,location.state,venuePage.id
5d71391663780300081707eb,The Naughty Corner,"[{'id': '4bf58dd8d48988d1c9941735', 'name': 'Ice Cream Shop', 'pluralName': 'Ice Cream Shops', 'shortName': 'Ice Cream', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/icecream_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,234 Lorong 8 Toa Payoh,,1.3385808,103.857994,"[{'label': 'display', 'lat': 1.3385808, 'lng': 103.857994}]",310234,SG,Singapore,Singapore,"['234 Lorong 8 Toa Payoh', '310234', 'Singapore']",Toa Payoh,,
5ce55220121384002cd40de6,Koi Thé,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,53 Ang Mo Kio Avenue 3 #01-44,,1.369201,103.847801,"[{'label': 'display', 'lat': 1.369201, 'lng': 103.847801}]",569933,SG,Ang Mo Kio,Singapore,"['53 Ang Mo Kio Avenue 3 #01-44', '569933', 'Singapore']",,,
53969738498ea18b1cac4265,Tea Tree Cafe,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,#B2-52 Nex,23 Serangoon Central,1.3500132082672938,103.8733557971905,"[{'label': 'display', 'lat': 1.3500132082672938, 'lng': 103.8733557971905}]",,SG,Singapore,Singapore,"['#B2-52 Nex (23 Serangoon Central)', 'Singapore']",,,
4f531adde4b0754d5860cc31,KOI Thé,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,"443 Clementi Ave 3, #01-67",,1.3145739618800611,103.7639892409945,"[{'label': 'display', 'lat': 1.3145739618800611, 'lng': 103.7639892409945}]",120443,SG,,Singapore,"['443 Clementi Ave 3, #01-67', '120443', 'Singapore']",Clementi,,
5f70b1687160b95cce1dcbf4,The Whale Tea,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,407 AMK Ave 10,#01-747,1.362133,103.855831,"[{'label': 'display', 'lat': 1.362133, 'lng': 103.855831}]",560407,SG,Ang Mo Kio,Singapore,"['407 AMK Ave 10 (#01-747)', '560407', 'Singapore']",,,
5c0cb13efb8e59002cc1a9b5,KOI Thé,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,"90 Hougang Avenue 10, Hougang Mall #01-15",,1.3723843,103.893715,"[{'label': 'display', 'lat': 1.3723843, 'lng': 103.893715}]",538766,SG,Singapore,Singapore,"['90 Hougang Avenue 10, Hougang Mall #01-15', '538766', 'Singapore']",,,
4d2eed1a5d4ca1cd77551c1b,Each A Cup,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,"#B1-K1, Clementi Mall (3155 Commonwealth Ave West)",,1.3150759100147418,103.7649350058857,"[{'label': 'display', 'lat': 1.3150759100147418, 'lng': 103.7649350058857}]",129588,SG,Singapore,Singapore,"['#B1-K1, Clementi Mall (3155 Commonwealth Ave West)', '129588', 'Singapore']",,,
601911420a23e20140a06cce,The Alley,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,Blk 441A Clementi Ave 3 #01-04,,1.315737,103.763911,"[{'label': 'display', 'lat': 1.315737, 'lng': 103.763911}]",121441,SG,Clementi,Singapore,"['Blk 441A Clementi Ave 3 #01-04', '121441', 'Singapore']",,,
58c3986c113efc48ad6410ed,The Cebreaker,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,,,1.3723253,103.846306,"[{'label': 'display', 'lat': 1.3723253, 'lng': 103.846306}]",,SG,,Singapore,['Singapore'],,,
5d451a8d95cf6f00082919b4,The Alley 鹿角巷,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,"10 Tampines Central 1, #02-K3",,1.354055,103.945209,"[{'label': 'display', 'lat': 1.354055, 'lng': 103.945209}]",529537,SG,Tampines,Singapore,"['10 Tampines Central 1, #02-K3', '529537', 'Singapore']",,,
5c42a0631b0ea5002c916360,Enjoy The Tea,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,"Grand Central Mall, ground floor",,1.3143451,103.765076,"[{'label': 'display', 'lat': 1.3143451, 'lng': 103.765076}]",129581,SG,Singapore,Singapore,"['Grand Central Mall, ground floor', '129581', 'Singapore']",,,
5981ab561bc70436f85f5cf3,KOI Thé,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,"#02-K3B, Tampines Mall",4 Tampines Central 5,1.3526267024085301,103.94440152821635,"[{'label': 'display', 'lat': 1.3526267024085301, 'lng': 103.94440152821635}]",529510,SG,Tampines,Singapore,"['#02-K3B, Tampines Mall (4 Tampines Central 5)', '529510', 'Singapore']",Tampines,,
5f9d342e73f7596604d54ae0,The Alley,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,19 Eng Kong Terrace (in neue mart),,1.336363,103.768253,"[{'label': 'display', 'lat': 1.336363, 'lng': 103.768253}]",598991,SG,Singapore,Singapore,"['19 Eng Kong Terrace (in neue mart)', '598991', 'Singapore']",,,
60114507c6e5941d2d6dea6e,Koi Thé Express,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,,,1.3587079,103.751976,"[{'label': 'display', 'lat': 1.3587079, 'lng': 103.751976}]",659083,SG,Singapore,Singapore,"['659083', 'Singapore']",,,
50924964e4b0948956762c4a,KOI Thé,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,#01-02 GV Yishun 10,51 Yishun Central,1.4297866685073348,103.8362951657566,"[{'label': 'display', 'lat': 1.4297866685073348, 'lng': 103.8362951657566}]",768794,SG,Singapore,Singapore,"['#01-02 GV Yishun 10 (51 Yishun Central)', '768794', 'Singapore']",,,
5e19af61a9ac880007812c9c,The Whale Tea,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,,,1.3924176,103.904686,"[{'label': 'display', 'lat': 1.3924176, 'lng': 103.904686}]",545082,SG,Singapore,Singapore,"['545082', 'Singapore']",,,
5c31fbf9acb37f002b84719b,Koi Thé Express,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,"Northpoint City (South Wing), #B2-157",,1.4285973,103.83583,"[{'label': 'display', 'lat': 1.4285973, 'lng': 103.83583}]",769098,SG,Singapore,Singapore,"['Northpoint City (South Wing), #B2-157', '769098', 'Singapore']",Yishun,,
5e93eeaa82b11b00073f0f47,Koi Thé,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,1 Pasir Ris Close,#01-341,1.377497,103.954981,"[{'label': 'display', 'lat': 1.377497, 'lng': 103.954981}]",519599,SG,Kampong Pasir Ris,Singapore,"['1 Pasir Ris Close (#01-341)', '519599', 'Singapore']",,,
58568c456431e554e129333d,KOI Thé,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,Jurong Point,,1.3403742173107849,103.70639963950555,"[{'label': 'display', 'lat': 1.3403742173107849, 'lng': 103.70639963950555}]",648886,SG,,Singapore,"['Jurong Point', '648886', 'Singapore']",Jurong West,,
6033905149e1267fe6217acb,The Alley,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,"1 Northpoint Drive, #B2-123",Northpoint City South Wing,1.428947,103.834746,"[{'label': 'display', 'lat': 1.428947, 'lng': 103.834746}]",768019,SG,Yishun New Town,Singapore,"['1 Northpoint Drive, #B2-123 (Northpoint City South Wing)', '768019', 'Singapore']",,Singapore,
5c2f5c0fe1f0aa002c95c4cb,KOI Thé,"[{'id': '52e81612bcbc57f1066b7a0c', 'name': 'Bubble Tea Shop', 'pluralName': 'Bubble Tea Shops', 'shortName': 'Bubble Tea', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bubble_', 'suffix': '.png'}, 'primary': True}]",v-1619097445,False,30 Sembawang Drive,#02-09 Sun Plaza,1.448377,103.819601,"[{'label': 'display', 'lat': 1.448377, 'lng': 103.819601}]",757713,SG,Sembawang Estate,Singapore,"['30 Sembawang Drive (#02-09 Sun Plaza)', '757713', 'Singapore']",,,
